Index,demand
0,0.057955573850515356
1,0.0390368611355724
2,0.016982731186503373
3,0.02515571346190312
4,0.05682557909945686
5,0.013238363160267008
6,0.028268459932568768
7,0.07572219491873418
8,0.03162505764548923
9,0.038787219714987914
10,0.029292235620367466
11,0.25212371370912545
12,0.23294595254178976
13,0.025157184014991847
14,0.11416376361114529
15,0.042048415691147596
16,0.08329738714517926
17,0.05256459001817987
18,0.119069630546348
19,0.06961088439847232
20,0.010539204082953078
21,0.0034684881118342585
22,0.09456741190451134
23,0.06463777020122612
24,0.4428525871770367
25,0.0676681350820042
26,0.04065253298741398
27,0.08359673645597468
28,0.061943293346276775
29,0.009950948101884741
30,0.030283520973367964
31,0.03456493891462971
32,0.02077773757646731
33,0.05733826641734308
34,0.2583687026916478
35,0.44324247648277554
36,0.052068648302131953
37,0.02334414718065438
38,0.08398523057315446
39,0.07091370402367424
40,0.008864094911669316
41,0.007473590652057541
42,0.02536170428298811
43,0.05581309459655239
44,0.02528645514837356
45,0.04486290514613702
46,0.05865735846690691
47,0.44866185483517773
48,0.11233825831874415
49,0.05728735004632667
50,0.2690324777460426
51,0.09835575969427211
52,0.014981315942745361
53,0.18636708782589734
54,0.017184742273623887
55,0.07510822687420432
56,0.11508756929059137
57,0.039368531297094375
58,0.022663467863072467
59,0.04291363965673834
60,0.02871388280430998
61,0.09237309615886012
62,0.11786058492750831
63,0.045622735752286335
64,0.021591308760681348
65,0.39468672868173865
66,0.025095571771307296
67,0.037900242234215974
68,0.029127101084550803
69,0.05902145627223447
70,0.029391336814699937
71,0.029816226682827563
72,0.004319859825842737
73,0.05745896519889633
74,0.04255625307352728
75,0.023495454809873802
76,0.01933648044358258
77,0.12700692661395038
78,0.12887217098802903
79,0.016729892678237414
80,0.025592100654331887
81,0.013616483111844737
82,0.016387274613871145
83,0.0764266380433132
84,0.07857918298277587
85,0.06285766021512919
86,0.12070579580050762
87,0.4591428958635432
88,0.07360419590834556
89,0.05112126386228771
90,0.018100796245025554
91,0.031414438080209724
92,0.07804970660921955
93,0.1086771779445662
94,0.15395045112702932
95,0.018977661528665424
96,0.03422102064620449
97,0.049150680653691284
98,0.012233262047491398
99,0.008592189891907114
100,0.019857679026587458
101,0.024444281787168138
102,0.034497552315115386
103,0.11827697669232197
104,0.04522635550953851
105,0.034161967091989036
106,0.04518587542297786
107,0.07645219073623982
108,0.48674171685805157
109,0.03655689232829836
110,0.024802330986844465
111,0.023847541903829074
112,0.0436602691020966
113,0.054353846116581124
114,0.025648553594628903
115,0.10361358368597987
116,0.14566968520893303
117,0.08047899684824471
118,0.08570187514852753
119,0.05932235656936202
120,0.018442790791914136
121,0.024118327447089277
122,0.02391974856567801
123,0.03004140961049376
124,0.00885341152180047
125,0.0573905585810777
126,0.06182411191532168
127,0.22389797238111128
128,0.021643914438815377
129,0.04582444632464511
130,0.03214939896324428
131,0.022977010751658058
132,0.01749867371815445
133,0.02460237884789881
134,0.03939145180833734
135,0.02844845035510189
136,0.08005261082005126
137,0.1314642078133928
138,0.2611902971505256
139,0.043434041529658976
140,0.039289211315678585
141,0.08788207075852493
142,0.05985666210600412
143,0.01633518711783756
144,0.05911912364044422
145,0.01839166742360721
146,0.010494015647642662
147,0.02813077141384932
148,0.12146979587882446
149,0.0223647395953299
150,0.021380446927167972
151,0.024437969457036166
152,0.06657961354089492
153,0.07005603421326102
154,0.13612691889538828
155,0.10771377641565903
156,0.23246459474203812
157,0.06438393062632829
158,0.04660669546663267
159,0.01900829254698472
160,0.04988419975664535
161,0.04299589293362019
162,0.05673401232805948
163,0.044962546376609104
164,0.621987586800619
165,0.11144681988253298
166,0.019812237519194687
167,0.09996188071004389
168,0.045806770760164595
169,0.04800779262971891
170,0.020572802765235723
171,0.015458764702978908
172,0.010206100838245599
173,0.04329746600063276
174,0.01775424360856427
175,0.018043589342126184
176,0.07150176714753885
177,0.04740822132961271
178,0.09200105156550921
179,0.06351534659336654
180,0.11985454861665681
181,0.24789398510406338
182,0.39666653666334806
183,0.08389584612290997
184,0.03163273017296544
185,0.09025974198675342
186,0.02284998353116636
187,0.03394693916222136
188,0.010516612246880606
189,0.06725674135398896
190,0.06364031379332907
191,0.1342547390549988
192,0.05542006568332651
193,0.1055812667250032
194,0.048004752996344234
195,0.06515469962576668
196,0.024466884510634206
197,0.023132624009229125
198,0.1071356665842901
199,0.026014535264968844
200,0.0614266452206634
201,0.03389992072650103
202,0.0077868499699014545
203,0.022818234909186965
204,0.03422909538957881
205,0.06275737123552973
206,0.08869257029897161
207,0.14659222554048768
208,0.12198503261293979
209,0.1815476658713594
210,0.1373030960760015
211,0.148277332611273
212,0.021178585928321694
213,0.1003118404384272
214,0.06251891485604297
215,0.011080387851978356
216,0.04381558399270144
217,0.09618413890894469
218,0.04109893193420523
219,0.02794833746213675
220,0.057532589732902956
221,0.05269145839079564
222,0.019787630619729032
223,0.06357340450685801
224,0.09520656113177874
225,0.03670143041673041
226,0.0555730413314888
227,0.025937065183791606
228,0.027603189601759153
229,0.06393923574170547
230,0.031128226106935702
231,0.02135919715901881
232,0.06765932780415745
233,0.14704272335271987
234,0.3104387251312618
235,0.12686606120747848
236,0.13297953521632352
237,0.07638213753284868
238,0.10125871769687615
239,0.08323947601902112
240,0.09664154553266192
241,0.06090230274943162
242,0.026079157364159344
243,0.26308503486657875
244,0.0780869689385897
245,0.09738141591593365
246,0.06729928567412538
247,0.09052672715745985
248,0.02196909094952427
249,0.027996810979341855
250,0.009907592106482283
251,0.01750367763593685
252,0.021135406566726776
253,0.038704612853751715
254,0.09980741248700635
255,0.07613720637763953
